engine,box_position,code,runtime_min
nll_beta,0,5G09,3.27
nll_beta,0,5G23,1.231667
nll_beta,0,5G4I,4.918333
nll_beta,0,5GHR,2.613333
nll_beta,0,5GJM,0.953333
nll_beta,0,5GKV,1.396667
nll_beta,0,5GOX,0.938333
nll_beta,0,5GZI,1.245
nll_beta,0,5H5Y,0.991667
nll_beta,0,5HRJ,0.536667
nll_beta,0,5I2H,2.636667
nll_beta,0,5I47,1.281667
nll_beta,0,5I9E,3.855
nll_beta,0,5IAW,1.471667
nll_beta,0,5IQM,1.436667
nll_beta,0,5IY4,0.905
nll_beta,0,5IYX,2.29
nll_beta,0,5J0A,1.588333
nll_beta,0,5J4A,0.788333
nll_beta,0,5J9K,1.333333
nll_beta,0,5JD9,0.956667
nll_beta,0,5JHO,0.875
nll_beta,0,5JI5,1.081667
nll_beta,0,5JTA,2.163333
nll_beta,0,5K2X,1.075
nll_beta,0,5K6S,0.566667
nll_beta,0,5LTD,1.858333
nll_beta,0,5LU2,0.811667
nll_beta,0,5LW0,0.808333
nll_beta,0,5ME9,1.445
nll_beta,0,5MLK,3.985
nll_beta,0,5MLZ,1.713333
nll_beta,0,5MXY,0.763333
nll_beta,0,5N6H,1.258333
nll_beta,0,5N8R,3.083333
nll_beta,0,5NTB,1.065
nll_beta,0,5O51,1.488333
nll_beta,0,5O6B,1.933333
nll_beta,0,5OF1,0.8
nll_beta,0,5OF9,2.305
nll_beta,0,5OMB,0.876667
nll_beta,0,5OU8,1.336667
nll_beta,0,5Q1D,2.61
nll_beta,0,5Q1H,3.18
nll_beta,0,5SVE,0.956667
nll_beta,0,5T0K,3.096667
nll_beta,0,5T0M,0.983333
nll_beta,0,5T1G,0.786667
nll_beta,0,5T6J,0.691667
nll_beta,0,5TDY,1.001667
nll_beta,0,5TJA,0.918333
nll_beta,0,5TLD,0.855
nll_beta,0,5TM9,0.693333
nll_beta,0,5TTA,0.848333
nll_beta,0,5TV7,1.266667
nll_beta,0,5U6K,4.063333
nll_beta,0,5UQP,1.195
nll_beta,0,5UV4,1.0
nll_beta,0,5UX5,5.091667
nll_beta,0,5UXG,1.235
nll_beta,0,5UZU,0.991667
nll_beta,0,5V8W,1.86
nll_beta,0,5VIA,0.731667
nll_beta,0,5VLB,7.491667
nll_beta,0,5VQG,0.313333
nll_beta,0,5WB4,3.561667
nll_beta,0,5WJQ,0.46
nll_beta,0,5WRR,2.983333
nll_beta,0,5WWW,0.321667
nll_beta,0,5X6S,2.206667
nll_beta,0,5XG9,2.175
nll_beta,0,5XHW,0.856667
nll_beta,0,5XMZ,0.343333
nll_beta,0,5XRW,0.405
nll_beta,0,5XUK,0.345
nll_beta,0,5XUQ,0.371667
nll_beta,0,5XVW,0.923333
nll_beta,0,5Y9I,0.59
nll_beta,0,5YAY,0.643333
nll_beta,0,5Z6D,1.608333
nll_beta,0,5Z6V,0.381667
nll_beta,0,5Z8L,0.901667
nll_beta,0,5ZOO,1.11
nll_beta,0,6A0E,1.1
nll_beta,0,6A93,0.695
nll_beta,0,6AF3,2.913333
nll_beta,0,6AGI,0.786667
nll_beta,0,6AL9,0.751667
nll_beta,0,6B8Q,1.1
nll_beta,0,6CGO,1.531667
nll_beta,0,6COK,0.461667
nll_beta,0,6CQL,0.918333
nll_beta,0,6CW5,1.443333
nll_beta,0,6D2V,1.95
nll_beta,0,6D97,5.585
nll_beta,0,6DDT,2.586667
nll_beta,0,6DF3,0.94
nll_beta,0,6E0M,0.798333
nll_beta,0,6EC7,3.015
nll_beta,0,6EUS,5.54
nll_beta,0,6EWJ,2.213333
nll_beta,0,6EYS,2.721667
nll_beta,0,6F1S,0.626667
nll_beta,0,6FJU,1.848333
nll_beta,0,6FOK,3.573333
nll_beta,0,6FX6,0.406667
nll_beta,0,6GBS,1.315
nll_beta,0,6GP7,0.315
nll_beta,0,6GXS,2.395
nll_beta,0,6HFG,0.435
nll_beta,0,6HR7,1.341667
nll_beta,0,6I1R,1.863333
nll_beta,0,6I50,0.986667
nll_beta,0,6IIW,0.668333
nll_beta,0,6ILR,2.358333
nll_beta,0,6IQJ,1.206667
nll_beta,0,6IR8,0.266667
nll_beta,0,6J17,1.225
nll_beta,0,6J72,1.778333
nll_beta,0,6J7Y,1.375
nll_beta,0,6JC4,1.185
nll_beta,0,6JJW,0.848333
nll_beta,0,6JZA,0.18
nll_beta,0,6K6R,0.433333
nll_beta,0,6L8E,3.016667
nll_beta,0,6L9F,1.616667
nll_beta,0,6LKG,1.826667
nll_beta,0,6M20,4.63
nll_beta,0,6N5U,0.743333
nll_beta,0,6O6N,1.23
nll_beta,0,6OAE,1.028333
nll_beta,0,6OHI,0.891667
nll_beta,0,6PEU,4.576667
nll_beta,0,6PJQ,0.753333
nll_beta,0,6PNP,0.766667
nll_beta,0,6PUP,0.39
nll_beta,0,6R0L,0.623333
nll_beta,0,6R6T,2.745
nll_beta,0,6RFT,5.968333
nll_beta,0,6RPT,1.646667
nll_beta,0,6RR0,2.236667
nll_beta,0,6RSN,0.846667
nll_beta,0,6S2P,0.613333
nll_beta,0,6SRB,1.163333
nll_beta,0,6SXW,0.556667
